area_name_en,lat,lon,amenity
Al Barsha,25.1020637,55.1940563,parking
Al Barsha,25.1181992,55.2079616,fuel
Al Barsha,25.1060592,55.2231895,parking
Al Barsha,25.0932733,55.2075661,parking
Al Barsha,25.0934755,55.2067893,parking
Al Barsha,25.0908099,55.2109249,parking
Al Barsha,25.1001356,55.1959792,parking
Al Barsha,25.0926015,55.1862219,fast_food
Al Barsha,25.117068,55.196649,restaurant
Al Barsha,25.1142022,55.2054057,restaurant
Al Barsha,25.1143535,55.2054004,restaurant
Al Barsha,25.1145398,55.2009655,cafe
Al Barsha,25.1148388,55.2012308,restaurant
Al Barsha,25.1133877,55.2063202,post_office
Al Barsha,25.1157896,55.195595,parking
Al Barsha,25.1153995,55.19497,parking
Al Barsha,25.112236,55.1985685,parking
Al Barsha,25.1166359,55.1953729,parking
Al Barsha,25.1049684,55.1802322,parking
Al Barsha,25.098595,55.1823082,parking
Al Barsha,25.0939207,55.1872933,parking
Al Barsha,25.0993958,55.205662,parking_entrance
Al Barsha,25.0979388,55.2047724,parking_entrance
Al Barsha,25.1004696,55.2246451,parking
Al Barsha,25.1029781,55.213187,parking
Al Barsha,25.0975958,55.2023962,doctors
Al Barsha,25.0979622,55.2023962,parking
Al Barsha,25.1049847,55.1996818,parking
Al Barsha,25.1056623,55.2005964,parking
Al Barsha,25.106402,55.2032912,parking
Al Barsha,25.1068093,55.2047368,parking
Al Barsha,25.1144439,55.1929946,restaurant
Al Barsha,25.1173301,55.1959524,parking_entrance
Al Barsha,25.117448,55.1961704,parking
Al Barsha,25.1176947,55.1957883,cafe
Al Barsha,25.1167907,55.1962045,restaurant
Al Barsha,25.0925134,55.1866856,car_wash
Al Barsha,25.0998299,55.2050134,parking_entrance
Al Barsha,25.099691,55.1912676,restaurant
Al Barsha,25.1188865,55.2070206,fast_food
Al Barsha,25.1178985,55.2084296,fast_food
Al Barsha,25.1181439,55.2082085,fast_food
Al Barsha,25.1171387,55.2038119,restaurant
Al Barsha,25.1140437,55.1935252,restaurant
Al Barsha,25.1157752,55.2051646,restaurant
Al Barsha,25.1131758,55.1892745,fast_food
Al Barsha,25.1072178,55.1985554,restaurant
Al Barsha,25.1075103,55.1978032,restaurant
Al Barsha,25.1075375,55.1976683,pharmacy
Al Barsha,25.0991718,55.1907585,kindergarten
Al Barsha,25.1110049,55.1907721,restaurant
Al Barsha,25.1059962,55.1809109,clinic
Al Barsha,25.1140182,55.1904735,restaurant
Al Barsha,25.115665,55.2041024,fast_food
Al Barsha,25.092494,55.1984293,cafe
Al Barsha,25.1132104,55.1949238,atm
Al Barsha,25.0951733,55.2142686,bank
Al Barsha,25.1113717,55.205355,fast_food
Al Barsha,25.1178263,55.2085396,fast_food
Al Barsha,25.1166512,55.2072694,fountain
Al Barsha,25.1181619,55.2041582,place_of_worship
Al Barsha,25.1118898,55.2081586,bank
Al Barsha,25.1123284,55.2086734,place_of_worship
Al Barsha,25.1122631,55.1917136,restaurant
Al Barsha,25.1183114,55.2046069,place_of_worship
Al Barsha,25.0984227,55.2030709,parking
Al Barsha,25.1128253,55.1887118,bank
Al Barsha,25.1125367,55.1883897,cafe
Al Barsha,25.1123885,55.1882422,bar
Al Barsha,25.1149276,55.2062141,fast_food
Al Barsha,25.1145278,55.194748,restaurant
Al Barsha,25.0991652,55.2187682,restaurant
Al Barsha,25.1055202,55.2235277,cafe
Al Barsha,25.0934276,55.1857809,pharmacy
Al Barsha,25.0923424,55.1981595,cafe
Al Barsha,25.1102037,55.2031464,cafe
Al Barsha,25.1094012,55.2039181,car_rental
Al Barsha,25.1094865,55.2046898,car_rental
Al Barsha,25.1109394,55.2058282,restaurant
Al Barsha,25.1117235,55.2064271,restaurant
Al Barsha,25.1118124,55.2064973,restaurant
Al Barsha,25.1121561,55.2067494,cafe
Al Barsha,25.1125164,55.2062386,driving_school
Al Barsha,25.1078781,55.2132616,cafe
Al Barsha,25.1088903,55.2111951,restaurant
Al Barsha,25.11043,55.2022318,car_rental
Al Barsha,25.1106185,55.2024205,pharmacy
Al Barsha,25.1106486,55.2024927,car_rental
Al Barsha,25.1130359,55.2061413,restaurant
Al Barsha,25.114982,55.2062006,fast_food
Al Barsha,25.1149187,55.2061381,restaurant
Al Barsha,25.1159775,55.2065143,library
Al Barsha,25.1160948,55.2064676,pharmacy
Al Barsha,25.116394,55.2061496,pharmacy
Al Barsha,25.1165207,55.2059925,clinic
Al Barsha,25.1163704,55.2058042,clinic
Al Barsha,25.1171768,55.2051309,clinic
Al Barsha,25.1173982,55.2047457,car_rental
Al Barsha,25.117436,55.2046684,clinic
Al Barsha,25.1158597,55.2034275,restaurant
Al Barsha,25.1171174,55.2040595,restaurant
Al Barsha,25.1169753,55.2043895,clinic
Al Barsha,25.1153264,55.205748,veterinary
Al Barsha,25.1156956,55.2053088,restaurant
Al Barsha,25.1156853,55.2045725,car_rental
Al Barsha,25.115634,55.2045272,restaurant
Al Barsha,25.1156904,55.2044479,restaurant
Al Barsha,25.1158866,55.2042369,restaurant
Al Barsha,25.1160853,55.2039253,car_rental
Al Barsha,25.1095915,55.197376,restaurant
Al Barsha,25.1097025,55.197289,fast_food
Al Barsha,25.109839,55.1972063,fast_food
Al Barsha,25.1115317,55.1957542,restaurant
Al Barsha,25.1116789,55.1956312,restaurant
