formatted_address,latitude,longitude,google_place_id,input_string
Street 1 - شارع ١ - The Greens - دبي - United Arab Emirates,25.0957723,55.1690074,ChIJ9cplZmVrXz4Rs8U-m4dIDt0,"AL SIDIR 2 Al Thanyah Third Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALGHAF 1 Al Thanyah Third Dubai , UAE"
Abdullah Omran Taryam St - The Greens - Dubai - United Arab Emirates,25.0963234,55.169935,ChIJLQGZ929rXz4RBZnlxOvoSls,"ALGHAF 2 Al Thanyah Third Dubai , UAE"
1A St - The Views - Dubai - United Arab Emirates,25.0937828,55.1665445,ChIJs7R1uWVrXz4Rnrm0cB9Ta_g,"VIEWS 1 Al Thanyah Third Dubai , UAE"
1A St - The Views - Dubai - United Arab Emirates,25.0931596,55.1672346,ChIJ-dewsWVrXz4RMgXjyPjyRSs,"VIEWS 2 Al Thanyah Third Dubai , UAE"
Dubai Marina Sail Tower - Dubai Marina - Dubai - United Arab Emirates,25.0716593,55.134539,ChIJNxZsfFQTXz4RzZDO9EIi6t8,"MARINA SAIL Marsa Dubai Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALJAZ4 Al Thanyah Third Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALJAZ3 Al Thanyah Third Dubai , UAE"
"The Greens, Al Sidir - The Greens - Dubai - United Arab Emirates",25.095848,55.168968,ChIJ_-4yYGVrXz4RA0U_XYguQeY,"ALSIDIR 4 Al Thanyah Third Dubai , UAE"
"The Greens, Al Sidir - The Greens - Dubai - United Arab Emirates",25.095848,55.168968,ChIJ_-4yYGVrXz4RA0U_XYguQeY,"ALSIDIR 3 Al Thanyah Third Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALGHAF 3 Al Thanyah Third Dubai , UAE"
The Greens - Dubai - United Arab Emirates,25.0952855,55.169966,ChIJc36ATmVrXz4RV_uCcada5pQ,"ALGHAF 4 Al Thanyah Third Dubai , UAE"
Le Rêve - Dubai - United Arab Emirates,25.089236,55.147478,ChIJl-KdFlBrXz4RHlAqcwtsaCw,"Le Reve Marsa Dubai Dubai , UAE"
Dubai Marina - Dubai - United Arab Emirates,25.0862111,55.1488405,ChIJoUAdCVprXz4RqvQGHoLfn6w,"ALMASS Marsa Dubai Dubai , UAE"
Unit 309 - 2 1A St - The Greens - Dubai - United Arab Emirates,25.0948815,55.1705698,ChIJX8LeNGVrXz4RxCoKCIcE2wA,"ALJAZ 1 Al Thanyah Third Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALJAZ 2 Al Thanyah Third Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"ALNAKHEEL 1 Al Thanyah Third Dubai , UAE"
"The Greens, Al Sidir - The Greens - Dubai - United Arab Emirates",25.095848,55.168968,ChIJ_-4yYGVrXz4RA0U_XYguQeY,"ALSIDIR 1 Al Thanyah Third Dubai , UAE"
Dubai Marina - Dubai - United Arab Emirates,25.0870419,55.1483019,ChIJdR76vVBrXz4RGAmdAxOFhJU,"MARINA HEIGHTS 1 Marsa Dubai Dubai , UAE"
Al Marsa Street - Dubai - United Arab Emirates - دبي مارينا - دبي - United Arab Emirates,25.0795,55.144342,ChIJMxFv0vdrXz4RRSl5zzVJa7w,"MARINA VIEW Marsa Dubai Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"AL ARTA2 Al Thanyah Third Dubai , UAE"
The Greens - Dubai - United Arab Emirates,25.0939584,55.1707423,ChIJyYSzKmVrXz4RHmChsPbQG4I,"NAKHEEL 2 Al Thanyah Third Dubai , UAE"
"109, Al Nakheel Building Zabeel Road, Opposite Karama Post Office - Al Karama - Dubai - United Arab Emirates",25.2443615,55.3065544,ChIJtyHsWNZCXz4RsrU_vKsygAQ,"ALNAKHEEL 3 Al Thanyah Third Dubai , UAE"
Dubai - Jumeirah Beach Residence - Dubai - United Arab Emirates,25.0811249,55.139351,ChIJNb_z7FRrXz4R1IziJfH7H_8,"Murjan 1 Marsa Dubai Dubai , UAE"
