formatted_address,latitude,longitude,google_place_id,input_string,response
Al Barsha - Dubai - United Arab Emirates,25.083827,55.220397,ChIJGcP43A9sXz4RgjRv5o6UtcE,"Al Barsha ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Barsha', 'short_name': 'Al Barsha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Barsha - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.1223035, 'lng': 55.2493559}, 'southwest': {'lat': 25.0526682, 'lng': 55.1779825}}, 'location': {'lat': 25.083827, 'lng': 55.220397}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.1223035, 'lng': 55.2493559}, 'southwest': {'lat': 25.0526682, 'lng': 55.1779825}}}, 'place_id': 'ChIJGcP43A9sXz4RgjRv5o6UtcE', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al Wasl - Dubai - United Arab Emirates,25.199425,55.2563077,ChIJa74Ry3ZCXz4RAZDw13CSb3o,"Al Wasl ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Wasl', 'short_name': 'Al Wasl', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Wasl - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2114023, 'lng': 55.26996579999999}, 'southwest': {'lat': 25.185162, 'lng': 55.2432668}}, 'location': {'lat': 25.199425, 'lng': 55.25630770000001}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2114023, 'lng': 55.26996579999999}, 'southwest': {'lat': 25.185162, 'lng': 55.2432668}}}, 'place_id': 'ChIJa74Ry3ZCXz4RAZDw13CSb3o', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al QuozAl Quoz 4 - Dubai - United Arab Emirates,25.1514047,55.250782,ChIJV9mCQphpXz4RrgfW4AV-8bM,"Al Qoaz ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Quoz 4', 'short_name': 'Al Quoz 4', 'types': ['neighborhood', 'political']}, {'long_name': 'Al Quoz', 'short_name': 'Al Quoz', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al QuozAl Quoz 4 - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.1611919, 'lng': 55.2614666}, 'southwest': {'lat': 25.1441968, 'lng': 55.2409315}}, 'location': {'lat': 25.1514047, 'lng': 55.250782}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.1611919, 'lng': 55.2614666}, 'southwest': {'lat': 25.1441968, 'lng': 55.2409315}}}, 'partial_match': True, 'place_id': 'ChIJV9mCQphpXz4RrgfW4AV-8bM', 'types': ['neighborhood', 'political']}], 'status': 'OK'}"
Al SafaAl Safa 2 - Dubai - United Arab Emirates,25.1586178,55.2245398,ChIJaVOfZCBqXz4RWfomWSr4UOI,"Al Safaa ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Safa 2', 'short_name': 'Al Safa 2', 'types': ['neighborhood', 'political']}, {'long_name': 'Al Safa', 'short_name': 'Al Safa', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al SafaAl Safa 2 - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.1693148, 'lng': 55.2342904}, 'southwest': {'lat': 25.1509175, 'lng': 55.2163141}}, 'location': {'lat': 25.1586178, 'lng': 55.2245398}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.1693148, 'lng': 55.2342904}, 'southwest': {'lat': 25.1509175, 'lng': 55.2163141}}}, 'partial_match': True, 'place_id': 'ChIJaVOfZCBqXz4RWfomWSr4UOI', 'types': ['neighborhood', 'political']}], 'status': 'OK'}"
Ras Al Khor - Dubai - United Arab Emirates,25.1945448,55.3641298,ChIJtU2huL1nXz4Rp1_y3b3T-9U,"Ras Al Khor ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Ras Al Khor', 'short_name': 'Ras Al Khor', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Ras Al Khor - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2113453, 'lng': 55.3757254}, 'southwest': {'lat': 25.18221, 'lng': 55.3102037}}, 'location': {'lat': 25.1945448, 'lng': 55.3641298}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2113453, 'lng': 55.3757254}, 'southwest': {'lat': 25.18221, 'lng': 55.3102037}}}, 'place_id': 'ChIJtU2huL1nXz4Rp1_y3b3T-9U', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al Mankhool - Dubai - United Arab Emirates,25.2459667,55.2949976,ChIJl_c3LiJDXz4R6v8gbbQZP_E,"Mankhool ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Mankhool', 'short_name': 'Al Mankhool', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Mankhool - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2576403, 'lng': 55.3036019}, 'southwest': {'lat': 25.2404051, 'lng': 55.2855636}}, 'location': {'lat': 25.2459667, 'lng': 55.29499759999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2576403, 'lng': 55.3036019}, 'southwest': {'lat': 25.2404051, 'lng': 55.2855636}}}, 'place_id': 'ChIJl_c3LiJDXz4R6v8gbbQZP_E', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al BarshaAl Barsha 1 - Dubai - United Arab Emirates,25.1128489,55.1904128,ChIJ-wzajqJrXz4RaAIvUnx2SWo,"Tawaa Al Sayegh ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Al Barsha 1', 'short_name': 'Al Barsha 1', 'types': ['neighborhood', 'political']}, {'long_name': 'Al Barsha', 'short_name': 'Al Barsha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al BarshaAl Barsha 1 - Dubai - United Arab Emirates', 'geometry': {'location': {'lat': 25.1128489, 'lng': 55.1904128}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 25.11419788029151, 'lng': 55.1917617802915}, 'southwest': {'lat': 25.1114999197085, 'lng': 55.1890638197085}}}, 'place_id': 'ChIJ-wzajqJrXz4RaAIvUnx2SWo', 'plus_code': {'compound_code': '457R+45 Dubai - United Arab Emirates', 'global_code': '7HQQ457R+45'}, 'types': ['establishment', 'point_of_interest']}, {'address_components': [{'long_name': 'Opposite Internet and', 'short_name': 'Opposite Internet and', 'types': ['establishment', 'point_of_interest']}, {'long_name': 'شارع الشيخ زايد', 'short_name': 'شارع الشيخ زايد', 'types': ['route']}, {'long_name': 'Dubai Media City', 'short_name': 'DMC', 'types': ['neighborhood', 'political']}, {'long_name': 'دبي', 'short_name': 'دبي', 'types': ['locality', 'political']}, {'long_name': 'دبي', 'short_name': 'دبي', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Cayan Business Center (TECOM - Opposite Internet and - شارع الشيخ زايد - Dubai Media City - دبي - United Arab Emirates', 'geometry': {'location': {'lat': 25.0955895, 'lng': 55.17578839999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 25.0969384802915, 'lng': 55.17713738029149}, 'southwest': {'lat': 25.0942405197085, 'lng': 55.17443941970849}}}, 'place_id': 'ChIJV8rniXlrXz4Roq1Dfv8eYvc', 'plus_code': {'compound_code': '35WG+68 Dubai - United Arab Emirates', 'global_code': '7HQQ35WG+68'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}"
Al Hudaiba - Dubai - United Arab Emirates,25.2431974,55.2797959,ChIJlwZCGgNDXz4R1BDYspXNgfM,"Al Hudaiba ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Hudaiba', 'short_name': 'Al Hudaiba', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Hudaiba - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2491772, 'lng': 55.284383}, 'southwest': {'lat': 25.2353325, 'lng': 55.2725917}}, 'location': {'lat': 25.2431974, 'lng': 55.2797959}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2491772, 'lng': 55.284383}, 'southwest': {'lat': 25.2353325, 'lng': 55.2725917}}}, 'place_id': 'ChIJlwZCGgNDXz4R1BDYspXNgfM', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Dubai - United Arab Emirates,25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,"Zareeba Duviya ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.3585607, 'lng': 55.5650393}, 'southwest': {'lat': 24.7921359, 'lng': 54.89045429999999}}, 'location': {'lat': 25.2048493, 'lng': 55.2707828}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.3585607, 'lng': 55.5650393}, 'southwest': {'lat': 24.7921359, 'lng': 54.89045429999999}}}, 'partial_match': True, 'place_id': 'ChIJRcbZaklDXz4RYlEphFBu5r0', 'types': ['locality', 'political']}], 'status': 'OK'}"
Bur Dubai - Dubai - United Arab Emirates,25.2145565,55.3032906,ChIJYXshnzlDXz4RiypxAjQP118,"Bur Dubai ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Bur Dubai', 'short_name': 'Bur Dubai', 'types': ['colloquial_area', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Bur Dubai - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2752418, 'lng': 55.3470611}, 'southwest': {'lat': 25.1948451, 'lng': 55.2754784}}, 'location': {'lat': 25.2145565, 'lng': 55.3032906}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2752418, 'lng': 55.3470611}, 'southwest': {'lat': 25.1948451, 'lng': 55.2754784}}}, 'place_id': 'ChIJYXshnzlDXz4RiypxAjQP118', 'types': ['colloquial_area', 'political']}], 'status': 'OK'}"
