latitude,longitude,google_place_id,area_name_en,nlat,nlng,slat,slng,type
25.083827,55.220397,ChIJGcP43A9sXz4RgjRv5o6UtcE,Al Barsha,25.1223035,55.2493559,25.0526682,55.1779825,Bound
25.199425,55.2563077,ChIJa74Ry3ZCXz4RAZDw13CSb3o,Al Wasl,25.2114023,55.2699658,25.185162,55.2432668,Bound
25.1514047,55.250782,ChIJV9mCQphpXz4RrgfW4AV-8bM,Al Qoaz,25.1611919,55.2614666,25.1441968,55.2409315,Bound
25.1586178,55.2245398,ChIJaVOfZCBqXz4RWfomWSr4UOI,Al Safaa,25.1693148,55.2342904,25.1509175,55.2163141,Bound
25.1945448,55.3641298,ChIJtU2huL1nXz4Rp1_y3b3T-9U,Ras Al Khor,25.2113453,55.3757254,25.18221,55.3102037,Bound
25.2459667,55.2949976,ChIJl_c3LiJDXz4R6v8gbbQZP_E,Mankhool,25.2576403,55.3036019,25.2404051,55.2855636,Bound
25.1128489,55.1904128,ChIJ-wzajqJrXz4RaAIvUnx2SWo,Tawaa Al Sayegh,25.11419788,55.19176178,25.11149992,55.18906382,Viewport
25.2431974,55.2797959,ChIJlwZCGgNDXz4R1BDYspXNgfM,Al Hudaiba,25.2491772,55.284383,25.2353325,55.2725917,Bound
25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,Zareeba Duviya,25.3585607,55.5650393,24.7921359,54.8904543,Bound
25.2145565,55.3032906,ChIJYXshnzlDXz4RiypxAjQP118,Bur Dubai,25.2752418,55.3470611,25.1948451,55.2754784,Bound
25.197197,55.2743764,ChIJS-JnijRDXz4R4rfO4QLlRf8,Burj Khalifa,25.19854598,55.27572538,25.19584802,55.27302742,Viewport
25.239126,55.3129667,ChIJMRjTWNJCXz4RblYutfJoBfE,Oud Metha,25.2476072,55.3171008,25.2310917,55.3058673,Bound
25.0421408,55.5912693,ChIJ1QZ8eBCE9T4R3WLN5z_RzDg,Lehbab,25.0682156,55.6170718,25.0203716,55.5656795,Bound
25.2346972,55.2963797,ChIJSbp_mNxCXz4Rj_zF4bbHEjU,Al Kifaf,25.239572,55.3041029,25.2302941,55.29037,Bound
24.9857145,55.0272904,ChIJqQlYMxISXz4RCjDF4Y0MTqE,Jabal Ali,25.0396306,55.1568604,24.8917309,54.9486968,Bound
25.1586178,55.2245398,ChIJaVOfZCBqXz4RWfomWSr4UOI,Al Lusaily,25.1693148,55.2342904,25.1509175,55.2163141,Bound
25.1449353,55.501084,ChIJJTsL59qJ9T4RTdjU9AczyMs,Al Ruwayyah,25.14628428,55.50243298,25.14358632,55.49973502,Viewport
24.9037042,55.6273332,ChIJ_yKsExV59T4R6-vm_oHWy9s,Margham,24.9198342,55.6433488,24.8869816,55.5976868,Bound
25.2247272,55.2687419,ChIJd0RKSFhCXz4RFnWDeOIE2TU,Al Bada,25.2388905,55.2786323,25.2101128,55.2570854,Bound
